Municipality,Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
Banate,Iloilo,FEMALE,10992.0,11412,420.0,3.82
Banate,Iloilo,MALE,11095.0,11767,672.0,6.06
Banaue,Ifugao,FEMALE,6868.0,7337,469.0,6.83
Banaue,Ifugao,MALE,7135.0,7555,420.0,5.89
Banaybanay,Davao Oriental,FEMALE,14373.0,15468,1095.0,7.62
Banaybanay,Davao Oriental,MALE,14300.0,15773,1473.0,10.3
Banayoyo,Ilocos Sur,FEMALE,2944.0,3010,66.0,2.24
Banayoyo,Ilocos Sur,MALE,3057.0,3236,179.0,5.86
Banga,Aklan,FEMALE,14206.0,14659,453.0,3.19
Banga,Aklan,MALE,13725.0,14507,782.0,5.7
Banga,South Cotabato,FEMALE,25659.0,26983,1324.0,5.16
Banga,South Cotabato,MALE,25546.0,27864,2318.0,9.07
Bangar,La Union,FEMALE,11947.0,11673,-274.0,-2.29
Bangar,La Union,MALE,11907.0,12000,93.0,0.78
Bangued,Abra,FEMALE,16425.0,17319,894.0,5.44
Bangued,Abra,MALE,15822.0,17251,1429.0,9.03
Bangui,Ilocos Norte,FEMALE,5795.0,5679,-116.0,-2.0
Bangui,Ilocos Norte,MALE,5721.0,5735,14.0,0.24
Bani,Pangasinan,FEMALE,15796.0,16055,259.0,1.64
Bani,Pangasinan,MALE,15229.0,15632,403.0,2.65
Banisilan,Cotabato (North Cotabato),FEMALE,12404.0,12869,465.0,3.75
Banisilan,Cotabato (North Cotabato),MALE,14048.0,14652,604.0,4.3
Banna (Espiritu),Ilocos Norte,FEMALE,6444.0,6386,-58.0,-0.9
Banna (Espiritu),Ilocos Norte,MALE,6507.0,6628,121.0,1.86
Bansalan,Davao Del Sur,FEMALE,20912.0,22983,2071.0,9.9
Bansalan,Davao Del Sur,MALE,21943.0,24147,2204.0,10.04
Bansud,Oriental Mindoro,FEMALE,12770.0,13601,831.0,6.51
Bansud,Oriental Mindoro,MALE,12420.0,13382,962.0,7.75
Bantay,Ilocos Sur,FEMALE,10581.0,10933,352.0,3.33
Bantay,Ilocos Sur,MALE,10825.0,11391,566.0,5.23
Bantayan,Cebu,FEMALE,23526.0,25507,1981.0,8.42
Bantayan,Cebu,MALE,21981.0,23906,1925.0,8.76
Banton,Romblon,FEMALE,2042.0,2025,-17.0,-0.83
Banton,Romblon,MALE,1948.0,1938,-10.0,-0.51
Baras,Catanduanes,FEMALE,5572.0,5410,-162.0,-2.91
Baras,Catanduanes,MALE,5720.0,5748,28.0,0.49
Baras,Rizal,FEMALE,21076.0,23996,2920.0,13.85
Baras,Rizal,MALE,19725.0,22286,2561.0,12.98
Barbaza,Antique,FEMALE,8099.0,7975,-124.0,-1.53
Barbaza,Antique,MALE,7932.0,7906,-26.0,-0.33
Barcelona,Sorsogon,FEMALE,7844.0,8286,442.0,5.63
Barcelona,Sorsogon,MALE,7728.0,8211,483.0,6.25
Barili,Cebu,FEMALE,25051.0,27930,2879.0,11.49
Barili,Cebu,MALE,24710.0,28088,3378.0,13.67
Barira,Maguindanao,FEMALE,7223.0,10223,3000.0,41.53
Barira,Maguindanao,MALE,7331.0,10268,2937.0,40.06
Barlig,Mountain Province,FEMALE,1847.0,1953,106.0,5.74
Barlig,Mountain Province,MALE,2203.0,2311,108.0,4.9
Barobo,Surigao Del Sur,FEMALE,15679.0,17235,1556.0,9.92
Barobo,Surigao Del Sur,MALE,16334.0,18392,2058.0,12.6
Barotac Nuevo,Iloilo,FEMALE,18958.0,19458,500.0,2.64
Barotac Nuevo,Iloilo,MALE,18091.0,18900,809.0,4.47
Barotac Viejo,Iloilo,FEMALE,15221.0,15577,356.0,2.34
Barotac Viejo,Iloilo,MALE,15433.0,15790,357.0,2.31
Baroy,Lanao Del Norte,FEMALE,9102.0,10090,988.0,10.85
Baroy,Lanao Del Norte,MALE,9123.0,10248,1125.0,12.33
Barugo,Leyte,FEMALE,10850.0,11606,756.0,6.97
Barugo,Leyte,MALE,11330.0,12067,737.0,6.5
Basay,Negros Oriental,FEMALE,9584.0,10162,578.0,6.03
Basay,Negros Oriental,MALE,9953.0,10344,391.0,3.93
Basco,Batanes,FEMALE,2967.0,3260,293.0,9.88
Basco,Batanes,MALE,2568.0,3084,516.0,20.09
Basey,Samar (Western Samar),FEMALE,17600.0,19101,1501.0,8.53
Basey,Samar (Western Samar),MALE,18643.0,20475,1832.0,9.83
Basilisa (Rizal),Dinagat Islands,FEMALE,7693.0,7780,87.0,1.13
Basilisa (Rizal),Dinagat Islands,MALE,7683.0,7772,89.0,1.16
Basista,Pangasinan,FEMALE,11734.0,12637,903.0,7.7
Basista,Pangasinan,MALE,11208.0,12481,1273.0,11.36
Basud,Camarines Norte,FEMALE,13743.0,14442,699.0,5.09
Basud,Camarines Norte,MALE,12812.0,13665,853.0,6.66
Batac City,Ilocos Norte,FEMALE,19094.0,19915,821.0,4.3
Batac City,Ilocos Norte,MALE,18600.0,19682,1082.0,5.82
Batad,Iloilo,FEMALE,7426.0,7719,293.0,3.95
Batad,Iloilo,MALE,7460.0,7771,311.0,4.17
Batan,Aklan,FEMALE,11840.0,11836,-4.0,-0.03
Batan,Aklan,MALE,11889.0,11995,106.0,0.89
Batangas City,Batangas,FEMALE,118362.0,117017,-1345.0,-1.14
Batangas City,Batangas,MALE,104896.0,103182,-1714.0,-1.63
Bataraza,Palawan,FEMALE,21858.0,25830,3972.0,18.17
Bataraza,Palawan,MALE,23847.0,28003,4156.0,17.43
Bato,Camarines Sur,FEMALE,16024.0,16802,778.0,4.86
Bato,Camarines Sur,MALE,15633.0,16275,642.0,4.11
Bato,Catanduanes,FEMALE,8358.0,8450,92.0,1.1
Bato,Catanduanes,MALE,8359.0,8558,199.0,2.38
Bato,Leyte,FEMALE,12155.0,13000,845.0,6.95
Bato,Leyte,MALE,11824.0,12522,698.0,5.9
Batuan,Bohol,FEMALE,4771.0,4974,203.0,4.25
Batuan,Bohol,MALE,4785.0,4946,161.0,3.36
Batuan,Masbate,FEMALE,5380.0,5317,-63.0,-1.17
Batuan,Masbate,MALE,5620.0,5493,-127.0,-2.26
Bauan,Batangas,FEMALE,29282.0,30626,1344.0,4.59
Bauan,Batangas,MALE,26876.0,28099,1223.0,4.55
Bauang,La Union,FEMALE,23921.0,27093,3172.0,13.26
Bauang,La Union,MALE,22253.0,25715,3462.0,15.56
Bauko,Mountain Province,FEMALE,10878.0,12086,1208.0,11.1
Bauko,Mountain Province,MALE,12114.0,13425,1311.0,10.82
Baungon,Bukidnon,FEMALE,11952.0,13152,1200.0,10.04
Baungon,Bukidnon,MALE,12922.0,14394,1472.0,11.39
Bautista,Pangasinan,FEMALE,10395.0,11114,719.0,6.92
Bautista,Pangasinan,MALE,10083.0,11176,1093.0,10.84
Bay,Laguna,FEMALE,20729.0,22549,1820.0,8.78
Bay,Laguna,MALE,18148.0,19967,1819.0,10.02
Bayabas,Surigao Del Sur,FEMALE,3118.0,3292,174.0,5.58
Bayabas,Surigao Del Sur,MALE,3327.0,3570,243.0,7.3
Bayambang,Pangasinan,FEMALE,39120.0,42409,3289.0,8.41
Bayambang,Pangasinan,MALE,36791.0,40674,3883.0,10.55
Bayang,Lanao Del Sur,FEMALE,8100.0,8515,415.0,5.12
Bayang,Lanao Del Sur,MALE,8353.0,9059,706.0,8.45
Bayawan City (Tulong),Negros Oriental,FEMALE,37378.0,39397,2019.0,5.4
Bayawan City (Tulong),Negros Oriental,MALE,38290.0,39458,1168.0,3.05
