province,age,registered_2022
Cavite,52,38725
Cavite,53,35947
Cavite,54,33820
Cavite,55,32134
Cavite,56,31958
Cavite,57,31047
Cavite,58,29611
Cavite,59,28580
Cavite,60_and_over,335174
Cebu,18,59779
Cebu,19,78740
Cebu,20,83156
Cebu,21,90918
Cebu,22,90071
Cebu,23,84345
Cebu,24,89267
Cebu,25,87370
Cebu,26,89752
Cebu,27,89705
Cebu,28,88988
Cebu,29,87267
Cebu,30,86344
Cebu,31,87296
Cebu,32,82514
Cebu,33,81868
Cebu,34,77984
Cebu,35,73746
Cebu,36,66361
Cebu,37,67326
Cebu,38,67758
Cebu,39,68463
Cebu,40,65633
Cebu,41,65713
Cebu,42,63661
Cebu,43,60936
Cebu,44,59006
Cebu,45,56010
Cebu,46,55132
Cebu,47,52234
Cebu,48,50962
Cebu,49,50917
Cebu,50,49226
Cebu,51,49883
Cebu,52,49590
Cebu,53,46363
Cebu,54,44142
Cebu,55,42225
Cebu,56,41103
Cebu,57,41144
Cebu,58,39038
Cebu,59,38910
Cebu,60_and_over,487932
Cotabato (North Cotabato),18,13694
Cotabato (North Cotabato),19,18159
Cotabato (North Cotabato),20,19422
Cotabato (North Cotabato),21,20996
Cotabato (North Cotabato),22,21200
Cotabato (North Cotabato),23,18728
Cotabato (North Cotabato),24,20269
Cotabato (North Cotabato),25,20656
Cotabato (North Cotabato),26,20555
Cotabato (North Cotabato),27,21024
Cotabato (North Cotabato),28,21373
Cotabato (North Cotabato),29,20130
Cotabato (North Cotabato),30,20086
Cotabato (North Cotabato),31,20064
Cotabato (North Cotabato),32,19112
Cotabato (North Cotabato),33,18660
Cotabato (North Cotabato),34,18378
Cotabato (North Cotabato),35,17476
Cotabato (North Cotabato),36,16549
Cotabato (North Cotabato),37,16899
Cotabato (North Cotabato),38,15943
Cotabato (North Cotabato),39,15848
Cotabato (North Cotabato),40,14671
Cotabato (North Cotabato),41,14694
Cotabato (North Cotabato),42,15112
Cotabato (North Cotabato),43,14742
Cotabato (North Cotabato),44,13640
Cotabato (North Cotabato),45,13378
Cotabato (North Cotabato),46,13344
Cotabato (North Cotabato),47,13261
Cotabato (North Cotabato),48,12158
Cotabato (North Cotabato),49,13215
Cotabato (North Cotabato),50,11606
Cotabato (North Cotabato),51,11727
Cotabato (North Cotabato),52,12656
Cotabato (North Cotabato),53,11801
Cotabato (North Cotabato),54,11169
Cotabato (North Cotabato),55,10286
Cotabato (North Cotabato),56,9923
Cotabato (North Cotabato),57,10222
Cotabato (North Cotabato),58,9699
Cotabato (North Cotabato),59,9228
Cotabato (North Cotabato),60_and_over,109453
Davao (Davao Del Norte),18,12466
Davao (Davao Del Norte),19,16579
Davao (Davao Del Norte),20,17342
Davao (Davao Del Norte),21,18320
Davao (Davao Del Norte),22,18119
Davao (Davao Del Norte),23,17267
Davao (Davao Del Norte),24,18070
Davao (Davao Del Norte),25,17441
Davao (Davao Del Norte),26,18205
Davao (Davao Del Norte),27,17967
Davao (Davao Del Norte),28,18080
Davao (Davao Del Norte),29,18386
Davao (Davao Del Norte),30,17912
Davao (Davao Del Norte),31,18100
Davao (Davao Del Norte),32,17470
Davao (Davao Del Norte),33,17017
Davao (Davao Del Norte),34,17577
Davao (Davao Del Norte),35,16232
Davao (Davao Del Norte),36,15214
Davao (Davao Del Norte),37,14984
Davao (Davao Del Norte),38,14497
Davao (Davao Del Norte),39,14348
Davao (Davao Del Norte),40,13851
Davao (Davao Del Norte),41,13787
Davao (Davao Del Norte),42,13931
Davao (Davao Del Norte),43,13237
Davao (Davao Del Norte),44,12746
Davao (Davao Del Norte),45,12386
Davao (Davao Del Norte),46,12069
Davao (Davao Del Norte),47,11628
