municipality,province,absolute_change
CAVINTI,LAGUNA,1703.0
CAVITE CITY,CAVITE,830.0
CAWAYAN,MASBATE,1537.0
CEBU CITY,CEBU,23436.0
CERVANTES,ILOCOS SUR,1157.0
CITY OF ANTIPOLO,RIZAL,-10812.0
CITY OF BINAN,LAGUNA,29317.0
CITY OF CALAPAN,ORIENTAL MINDORO,17333.0
CITY OF KIDAPAWAN,COTABATO (NORTH COTABATO),6516.0
CITY OF LAS PINAS,NCR,-37310.0
CITY OF LIGAO,ALBAY,5921.0
CITY OF MAKATI,NCR,5938.0
CITY OF MALAYBALAY,BUKIDNON,10724.0
CITY OF MANDALUYONG,NCR,3022.0
CITY OF MANILA,NCR,67893.0
CITY OF MARIKINA,NCR,14648.0
CITY OF MUNTINLUPA,NCR,-29761.0
CITY OF PARANAQUE,NCR,17154.0
CITY OF PASIG,NCR,16514.0
CITY OF PASSI,ILOILO,3046.0
CITY OF SAN FERNANDO,LA UNION,3900.0
CITY OF SANTIAGO,ISABELA,7609.0
CITY OF TAGUM,DAVAO (DAVAO DEL NORTE),17881.0
CITY OF TARLAC,TARLAC,7179.0
CITY OF VALENZUELA,NCR,65598.0
CLARIN,BOHOL,1037.0
CLARIN,MISAMIS OCCIDENTAL,-575.0
CLAVER,SURIGAO DEL NORTE,1112.0
CLAVERIA,CAGAYAN,905.0
CLAVERIA,MASBATE,226.0
CLAVERIA,MISAMIS ORIENTAL,2441.0
COLUMBIO,SULTAN KUDARAT,1145.0
COMPOSTELA,CEBU,3906.0
COMPOSTELA,DAVAO DE ORO (COMPOSTELA VALLEY),7208.0
CONCEPCION,ILOILO,1742.0
CONCEPCION,MISAMIS OCCIDENTAL,34.0
CONCEPCION,ROMBLON,-58.0
CONCEPCION,TARLAC,9136.0
CONNER,APAYAO,1427.0
CONSOLACION,CEBU,9533.0
CORCUERA,ROMBLON,-149.0
CORDOBA,CEBU,7027.0
CORDON,ISABELA,1460.0
CORELLA,BOHOL,359.0
CORON,PALAWAN,7617.0
CORTES,BOHOL,59.0
CORTES,SURIGAO DEL SUR,418.0
COTABATO CITY,MAGUINDANAO,6138.0
CUARTERO,CAPIZ,97.0
CUENCA,BATANGAS,1814.0
CULABA,BILIRAN,210.0
CULASI,ANTIQUE,959.0
CULION,PALAWAN,951.0
CURRIMAO,ILOCOS NORTE,1253.0
CUYAPO,NUEVA ECIJA,2214.0
CUYO,PALAWAN,609.0
DAANBANTAYAN,CEBU,2571.0
DAET,CAMARINES NORTE,6028.0
DAGAMI,LEYTE,622.0
DAGOHOY,BOHOL,671.0
DAGUIOMAN,ABRA,93.0
DAGUPAN CITY,PANGASINAN,19557.0
DALAGUETE,CEBU,4871.0
DAMULOG,BUKIDNON,2086.0
DANAO,BOHOL,287.0
DANAO CITY,CEBU,3706.0
DANGCAGAN,BUKIDNON,828.0
DANGLAS,ABRA,271.0
DAO,CAPIZ,748.0
DAPA,SURIGAO DEL NORTE,2319.0
DAPITAN CITY,ZAMBOANGA DEL NORTE,10374.0
DARAGA (LOCSIN),ALBAY,8147.0
DARAM,SAMAR (WESTERN SAMAR),-453.0
DASMARINAS CITY,CAVITE,10966.0
DASOL,PANGASINAN,538.0
DATU ABDULLAH SANGKI,MAGUINDANAO,6489.0
DATU ANGGAL MIDTIMBANG,MAGUINDANAO,5863.0
DATU BLAH T. SINSUAT,MAGUINDANAO,3060.0
DATU HOFFER AMPATUAN,MAGUINDANAO,4616.0
DATU ODIN SINSUAT (DINAIG),MAGUINDANAO,11357.0
DATU PAGLAS,MAGUINDANAO,3991.0
DATU PIANG,MAGUINDANAO,4235.0
DATU SALIBO,MAGUINDANAO,5797.0
DATU SAUDI AMPATUAN,MAGUINDANAO,4105.0
DATU UNSAY,MAGUINDANAO,2486.0
DAUIN,NEGROS ORIENTAL,1143.0
DAUIS,BOHOL,2291.0
DAVAO CITY,DAVAO DEL SUR,7934.0
DEL CARMEN,SURIGAO DEL NORTE,8.0
DEL GALLEGO,CAMARINES SUR,1897.0
DELFIN ALBANO (MAGSAYSAY),ISABELA,-6.0
DIADI,NUEVA VIZCAYA,368.0
DIFFUN,QUIRINO,638.0
DIGOS CITY,DAVAO DEL SUR,9662.0
DILASAG,AURORA,647.0
DIMASALANG,MASBATE,385.0
DIMATALING,ZAMBOANGA DEL SUR,2170.0
DIMIAO,BOHOL,35.0
DINAGAT,DINAGAT ISLANDS,273.0
DINALUNGAN,AURORA,56.0
DINALUPIHAN,BATAAN,4264.0
DINAPIGUE,ISABELA,-415.0
DINAS,ZAMBOANGA DEL SUR,2966.0
DINGALAN,AURORA,1822.0
DINGLE,ILOILO,877.0
DINGRAS,ILOCOS NORTE,559.0
DIPACULAO,AURORA,773.0
DIPLAHAN,ZAMBOANGA SIBUGAY,351.0
DIPOLOG CITY,ZAMBOANGA DEL NORTE,4238.0
DITSAAN-RAMAIN,LANAO DEL SUR,2402.0
DIVILACAN,ISABELA,95.0
DOLORES,ABRA,400.0
DOLORES,EASTERN SAMAR,1310.0
DOLORES,QUEZON,2367.0
DON CARLOS,BUKIDNON,2005.0
DON MARCELINO,DAVAO OCCIDENTAL,970.0
DON VICTORIANO CHIONGBIAN  (DON MARIANO MARCOS),MISAMIS OCCIDENTAL,1037.0
DONA REMEDIOS TRINIDAD,BULACAN,861.0
DONSOL,SORSOGON,3084.0
DUENAS,ILOILO,907.0
DUERO,BOHOL,414.0
DULAG,LEYTE,1143.0
DUMAGUETE CITY,NEGROS ORIENTAL,2738.0
DUMALAG,CAPIZ,-734.0
DUMALINAO,ZAMBOANGA DEL SUR,587.0
DUMALNEG,ILOCOS NORTE,58.0
DUMANGAS,ILOILO,2551.0
DUMANJUG,CEBU,2461.0
DUMARAN,PALAWAN,903.0
DUMARAO,CAPIZ,1872.0
DUMINGAG,ZAMBOANGA DEL SUR,2485.0
DUPAX DEL NORTE,NUEVA VIZCAYA,2323.0
DUPAX DEL SUR,NUEVA VIZCAYA,1097.0
ECHAGUE,ISABELA,3757.0
EL NIDO (BACUIT),PALAWAN,6013.0
EL SALVADOR CITY,MISAMIS ORIENTAL,4650.0
ENRILE,CAGAYAN,1562.0
ENRIQUE B. MAGALONA (SARAVIA),NEGROS OCCIDENTAL,1991.0
ENRIQUE VILLANUEVA,SIQUIJOR,14.0
ESCALANTE CITY,NEGROS OCCIDENTAL,378.0
ESPERANZA,AGUSAN DEL SUR,1421.0
ESPERANZA,MASBATE,353.0
ESPERANZA,SULTAN KUDARAT,4078.0
ESTANCIA,ILOILO,1903.0
FAMY,LAGUNA,1536.0
FERROL,ROMBLON,495.0
FLORA,APAYAO,375.0
FLORIDABLANCA,PAMPANGA,5173.0
GABALDON (BITULOK AND SABANI),NUEVA ECIJA,2302.0
GAINZA,CAMARINES SUR,587.0
GALIMUYOD,ILOCOS SUR,99.0
GAMAY,NORTHERN SAMAR,908.0
GAMU,ISABELA,762.0
GANASSI,LANAO DEL SUR,2938.0
GANDARA,SAMAR (WESTERN SAMAR),1242.0
GAPAN CITY,NUEVA ECIJA,2525.0
GARCHITORENA,CAMARINES SUR,1181.0
GARCIA HERNANDEZ,BOHOL,1711.0
GASAN,MARINDUQUE,1246.0
GATTARAN,CAGAYAN,751.0
GEN. MARIANO ALVAREZ,CAVITE,1041.0
GEN. S. K. PENDATUN,MAGUINDANAO,5410.0
GENERAL EMILIO AGUINALDO,CAVITE,1974.0
GENERAL LUNA,QUEZON,1604.0
GENERAL LUNA,SURIGAO DEL NORTE,3639.0
GENERAL MACARTHUR,EASTERN SAMAR,118.0
GENERAL MAMERTO NATIVIDAD,NUEVA ECIJA,2073.0
GENERAL NAKAR,QUEZON,3510.0
GENERAL SANTOS CITY  (DADIANGAS),SOUTH COTABATO,59126.0
GENERAL TINIO  (PAPAYA),NUEVA ECIJA,3722.0
GENERAL TRIAS CITY,CAVITE,24239.0
GERONA,TARLAC,2035.0
GIGAQUIT,SURIGAO DEL NORTE,2603.0
GIGMOTO,CATANDUANES,20.0
GINATILAN,CEBU,345.0
GINGOOG CITY,MISAMIS ORIENTAL,6490.0
GIPORLOS,EASTERN SAMAR,293.0
GITAGUM,MISAMIS ORIENTAL,915.0
GLAN,SARANGANI,9190.0
GLORIA,ORIENTAL MINDORO,2676.0
GOA,CAMARINES SUR,3946.0
GODOD,ZAMBOANGA DEL NORTE,114.0
GONZAGA,CAGAYAN,1443.0
GOVERNOR GENEROSO,DAVAO ORIENTAL,4028.0
GREGORIO DEL PILAR (CONCEPCION),ILOCOS SUR,-4.0
GUAGUA,PAMPANGA,-485.0
GUBAT,SORSOGON,2538.0
GUIGUINTO,BULACAN,7826.0
GUIHULNGAN CITY,NEGROS ORIENTAL,-2579.0
